Apple_scab,"1. Choose scab-resistant varieties of apple or crabapple trees.
2. Rake up and discard any fallen leaves or fruit on a regular basis, and never leave fallen leaves or fruit on the ground over winter.
3. Prune your apple and crabapple trees to keep their crowns open so light and air can move through.",https://www.independenttree.com/apple-scab-identification-prevention-treatment-2/
Black_rot,"1. If seeds are infected, you might see initial symptoms in transplant trays. These symptoms can look like yellow spots on leaves.
2. In the field, scout often for initial symptoms in order to begin managing the disease as soon as it appears.
3. Use drip irrigation on Brassica plants.",https://extension.umn.edu/disease-management/organic-management-black-rot#cultural-controls-3113112
Cedar_apple_rust,"1. Choose resistant cultivars when available.
2. Rake up and dispose of fallen leaves and other debris from under trees.
3. Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.",https://www.planetnatural.com/pest-problem-solver/plant-disease/cedar-apple-rust/
,,
,,
Powdery_mildew,"1. Sulfur dust is effective against many powdery mildews but should not be applied in hot weather.
2. A number of other organic treatments, including copper-based fungicides, baking soda solutions, and neem oil, have also proven effective. 
3. Planting resistant varieties, staking plants to improve air circulation, removing diseased plant parts, and sterilizing contaminated gardening shears can prevent or reduce the spread of the disease.",https://www.britannica.com/science/powdery-mildew
,,
Cercospora_leaf_spot,"1. Susceptible cultivars should not be planted within 100 yards of the previous year's infected crop.
2. Resistant cultivars help to slow the spread of the disease, but supplemental fungicidal sprays may still be needed in many situations.
3. Rotation of at least 3 years with non-host crops also reduces carryover of innoculum.",https://cropwatch.unl.edu/plantdisease/sugarbeet/cercospora-leaf-spot
Common_rust,"1. Resistant varieties are the most cost-effective means to manage common rust.
2. Since the pathogen does not survive in Nebraska, cultivation and crop rotation do not affect common rust development.
3. Consult your seed dealer to determine the best hybrids and inbreds for your area.",https://cropwatch.unl.edu/plantdisease/corn/common-rust
Northern_Leaf_Blight,"1. Choose hybrid varieties with known resistance to maize northern leaf blight; this is the most important way of managing the disease.
2. Do not over supply nitrogen, but make sure phosphorus and potassium are at optimal levels.
3. Collect the remains of the crop and destroy by burning or burying. Practise crop rotation, rotate with non-grass crops.",https://apps.lucidcentral.org/pppw_v10/text/web_full/entities/maize_northern_leaf_blight_226.htm
,,
Black_rot,"1. Space vines properly and choose a planting site where the vines will be exposed to full sun and good air circulation.
2. Keep the fruit planting and surrounding areas free of weeds and tall grass.
3. Prune the vines in early winter during dormancy. Select only a few strong, healthy canes from the previous year�s growth to produce the following season�s crop.",https://www.missouribotanicalgarden.org/gardens-gardening/your-garden/help-for-the-home-gardener/advice-tips-resources/pests-and-problems/diseases/fruit-spots/black-rot-of-grapes.aspx
Esca,"1. Strict sanitation and protection of all wounds from pruning to grafting will help protect vines during nursery production. Frequently disinfest pruning shears, hydration tanks, grafting machines, and callusing rooms.
2. When planting, sort out vines of poor quality. Do not plant vines that have been rooted from a curved cane (J-rooted), have weak or spindly growth or obvious problems such as crown gall.
3. Avoid large pruning cuts when possible; avoid pruning during and before wet weather.",https://pnwhandbooks.org/plantdisease/host-disease/grape-vitis-spp-esca-young-esca-petri-disease
